СУД (11 - 9 областных игородской иверховный)),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
Верховный суд,,Александров Дмитрий Петрович,бессрочно,02.07.2015 № 299,судья,,,,
,,Алещенко Андрей Валерьевич,бессрочно,15.11.2016  № 419,судья,,,,
,,"Андреева Наталья Владимировна
",бессрочно,31.12.2013 № 587,судья,,Минский городской суд,судья,
,,Анискевич Руслан Геннадьевич,бессрочно,14.05.2020 № 167,судья,от 14.05.2020 № 167,Верховный суд,заместитель председателя суда,в связи с истечением срока полномочий
,,Букато Игорь Ростиславович,бессрочно,14 .05.2007 № 229,судья,,суд Минского района и г. Заславля,заместитель председателя суда и судья,
,,Василевич Татьяна Валентиновна,бессрочно,,судья,,,,
,,Гарновский Анатолий Адамович,бессрочно,29.12.2006  № 747,судья,,Президиум Верховного суда,,
,,Глуховская Галина Ивановна,бессрочно,,судья,,,,
,,Григорович Алла Славомировна,бессрочно,,судья,,,,
,,Гринцевич Николай Николаевич,бессрочно,,судья,,,,
,,Гуров Сергей Викторович,бессрочно,,судья,,,,
,,Давыдов Владимир Александрович,бессрочно,26.06.2014  № 297,судья,,Белорусский военный суд,судья и председатель суда,перевод в верховный суд
,,Дубай Светлана Ивановна,бессрочно,,судья,,,,
,,Ефремов Андрей Петрович,бессрочно,,судья,,,,
,,Забара Андрей Александрович,бессрочно,14.05.2020 № 167,судья и заместитель председателя суда,,,,
,,Калинкович Валерий Леонидович,бессрочно,14.05.2020 № 167,судья и первый заместитель председателя суда,,,,
,,Каравай Елена Владимировна,бессрочно,,судья,,,,
,,Кобец Юрий Викторович,бессрочно,,судья и заместитель председателя суда,,,,
,,Ковальчук Андрей Викторович,бессрочно,01.08.2016  № 297,судья,,,,
,,Ковшун Виктор Григорьевич,бессрочно,,судья,,,,
,,Ковшун Нэлла Ивановна,бессрочно,11.02.2015 № 53,судья,11.02.2015 № 53,Минский областной,судья,перевод в верховный суд
,,Козорезова Раиса Викторовна,бессрочно,,судья,,,,
,,Колесник Игорь Викторович,бессрочно,27.02.2018  № 88,судья,,Витебский областной суд,судья,
,,Колесникова Людмила Анатольевна,бессрочно,,,,,,
,,Кондратьев Сергей Вадимович,бессрочно,14.05.2020 № 167,судья и заместитель председателя суда,,,,
,,Кривая Валентина Дмитриевна,бессрочно,,судья,,,,
,,Кривицкая Алла Александровна,бессрочно,21.04.2016 № 153,судья,,,,
,,Кругова Вера Борисовна,бессрочно,,судья,,,,
,,Кулик Валентина Геннадьевна,бессрочно,,судья,,,,
,,Лаевский Виталий Аркадьевич,бессрочно,,судья,,,,
,,Лазовикова Инесса Владимировна,бессрочно,11.02.2015 № 53,судья,11.02.2015 № 53,Минский городской суд,судья,перевод в Верховный суд
,,Листратенко Петр Алексеевич,бессрочно,,судья,,,,
,,Лупинович Александр Станиславович,бессрочно,,судья,,,,
,,Любовицкий Игорь Вячеславович,бессрочно,15.10.2020 № 364,судья,,Минский городской суд,судья,
,,Мартиросян Эдгар Вячеславович,бессрочно,31.05.2019 № 209,судья,, Витебский областной суд,судья,
,,Миколенко Татьяна Александровна,бессрочно,27.02.2018 № 88,судья,,экономический суд  Минск,судья,
,,Мильто Игорь Геннадьевич,бессрочно,,судья,,,,
,,Москаленко Леонид Дмитриевич,бессрочно,,судья,,,,
,,Муренцова Елена Евгеньевна,бессрочно,15.06.2020 № 213 ,судья,15.06.2020 № 213 ,Минский городской суд,судья,перевод в Верховный суд
,,Плотников Андрей Владимирович,бессрочно,25.05.2017 № 185,судья,,экономический суд г. Минска,заместитель председателя суда и судья ,
,,Пуцило Владимир Григорьевич,бессрочно,05.06.2013 № 259,судья,,,,
,,Рыбаков Алексей Васильевич,бессрочно,,судья,,,,
,,Синкевич Ольгу Николаевну,бессрочно,25.05.2017 № 185,судья,,экономический суд г. Минска,судья,
,,Соколовская Анна Михайловна,бессрочно,11.02.2015 № 53,судья,,,,
,,Сукало Валентин Олегович,бессрочно,,судья и председатель суда ,,,,
,,Таперкина Светлана Васильевна,бессрочно,21.04.2016 № 153,судья,,Минский городской суд,"заместитель председателя суда, судья",перевод в верховный суд
,,Терех Анатолий Григорьевич,бессрочно,,судья,,,,
,,Тетюхин Алексей Львович,бессрочно,,судья,,,,
,,Троско Елена Николаевна,бессрочно,,судья,,,,
,,Тылец Ирина Владимировна,бессрочно,,судья,,,,
,,Улога Дмитрий Анатольевич,бессрочно,,судья,,,,
,,Филипчик Римма Ивановна,бессрочно,,судья,,,,
,,Харитонюк Константин Николаевич,бессрочно,27.02.2018  № 88,судья,,Брестский областной суд,судья,
,,Цисик Инна Викторовна,бессрочно,,судья,,,,
,,Черевач Владимир Олегович,бессрочно,09.03.2017 № 77,судья,,,,
,,Чубковец Федор Иванович,бессрочно,,судья,,,,
,,Шильченок Виктор Фёдорович,бессрочно,21.04.2016 № 153,судья,,,,
,,Шкурдюк Жанна Борисовна,бессрочно,,судья и заместитель председателя суда,,,,
,,Якутович Екатерина Геннадьевна,бессрочно,09.03.2017 № 77,судья,,,,
,,Кострома Елена Александровна,бессрочно,,судья,,,,
,,Курило Виктор Александрович,бессрочно,,судья,,,,
,,Михнюк Оксана Николаевна,бессрочно,,судья,,,,
,,Протащик Татьяна Михайловна,бессрочно,,судья,,,,
,,Турмович Степан Петрович,бессрочно,,судья,,,,
,,Любецкая Светлана Анатольевна,бессрочно,15.11.2016 № 419,судья,,,,
,,Рутковский Юрий Иванович,бессрочно,15.11.2016 № 419,судья,,Могилевский областной суд,судья,
,,Сурма Наталья Михайловна,бессрочно,15.11.2016 № 419,судья,,Брестский областной суд,судья,
,,Латышевич Олег Даниилович,бессрочно,31.07.2017 №268,судья,,,,
